session_id,user_id,device,session_date,total_events,total_value,pages_viewed,session_duration_seconds,had_purchase,had_signup,had_upgrade
U000001_S0001,U000001,desktop,2025-11-27,5,0.0,5,119,False,False,False
U000002_S0001,U000002,desktop,2025-11-03,8,0.0,7,292,False,False,False
U000002_S0002,U000002,desktop,2025-11-08,6,0.0,6,358,False,False,False
U000002_S0003,U000002,desktop,2025-12-23,5,0.0,5,21,False,False,False
U000003_S0001,U000003,mobile,2025-11-07,3,0.0,2,22,False,False,False
U000003_S0002,U000003,mobile,2025-11-19,1,0.0,1,26,False,False,False
U000003_S0003,U000003,mobile,2025-11-24,1,0.0,1,38,False,False,False
U000003_S0004,U000003,desktop,2025-11-24,7,0.0,6,2,False,False,False
U000003_S0005,U000003,mobile,2025-11-26,18,0.0,11,231,False,False,False
U000003_S0006,U000003,tablet,2025-12-04,5,0.0,4,107,False,False,False
U000003_S0007,U000003,mobile,2025-12-08,6,0.0,5,141,False,False,False
U000003_S0008,U000003,mobile,2025-12-23,3,0.0,3,30,False,False,False
U000003_S0009,U000003,mobile,2025-12-23,1,0.0,1,38,False,False,False
U000003_S0010,U000003,mobile,2025-12-24,1,0.0,1,0,False,False,False
U000004_S0001,U000004,mobile,2025-11-03,2,0.0,2,0,False,False,False
U000004_S0002,U000004,mobile,2025-11-20,3,0.0,3,43,False,False,False
U000004_S0003,U000004,mobile,2025-12-16,5,0.0,4,9,False,False,False
U000005_S0001,U000005,mobile,2025-10-21,20,0.5,10,127,False,True,False
U000005_S0002,U000005,mobile,2025-11-10,4,0.0,3,39,False,False,False
U000005_S0003,U000005,mobile,2025-12-19,15,0.0,9,687,False,False,False
U000005_S0004,U000005,mobile,2025-12-22,2,0.0,2,15,False,False,False
U000007_S0001,U000007,mobile,2025-11-24,1,0.0,1,21,False,False,False
U000007_S0002,U000007,tablet,2025-11-29,21,-0.2,11,581,False,False,False
U000007_S0003,U000007,mobile,2025-12-02,3,0.0,3,3,False,False,False
U000007_S0004,U000007,mobile,2025-12-22,6,0.0,4,215,False,False,False
U000009_S0001,U000009,desktop,2025-11-12,1,0.0,1,44,False,False,False
U000009_S0002,U000009,desktop,2025-12-23,4,0.0,4,28,False,False,False
U000010_S0001,U000010,mobile,2025-11-23,1,0.0,1,23,False,False,False
U000010_S0002,U000010,mobile,2025-12-11,1,0.0,1,2,False,False,False
U000011_S0001,U000011,mobile,2025-10-21,2,0.0,2,90,False,False,False
U000011_S0002,U000011,mobile,2025-11-24,11,0.3,8,438,False,False,False
U000011_S0003,U000011,mobile,2025-12-10,1,0.0,1,34,False,False,False
U000011_S0004,U000011,desktop,2025-12-10,3,0.0,2,0,False,False,False
U000011_S0005,U000011,mobile,2025-12-23,4,0.0,4,91,False,False,False
U000012_S0001,U000012,desktop,2025-12-13,3,0.0,3,36,False,False,False
U000013_S0001,U000013,mobile,2025-10-22,5,0.0,4,315,False,False,False
U000014_S0001,U000014,tablet,2025-10-18,5,0.0,3,19,False,False,False
U000014_S0002,U000014,tablet,2025-11-16,2,0.0,2,4,False,False,False
U000014_S0003,U000014,tablet,2025-11-19,2,0.0,2,4,False,False,False
U000015_S0001,U000015,desktop,2025-10-11,5,0.0,3,174,False,False,False
U000015_S0002,U000015,mobile,2025-12-09,2,0.0,2,9,False,False,False
U000015_S0003,U000015,desktop,2025-12-11,4,0.5,4,381,False,True,False
U000016_S0001,U000016,mobile,2025-10-16,3,-0.2,3,214,False,False,False
U000016_S0002,U000016,mobile,2025-11-13,3,0.0,2,21,False,False,False
U000016_S0003,U000016,mobile,2025-11-25,5,0.0,5,105,False,False,False
U000016_S0004,U000016,mobile,2025-12-05,1,0.0,1,0,False,False,False
U000017_S0001,U000017,tablet,2025-10-09,3,0.0,3,15,False,False,False
U000017_S0002,U000017,desktop,2025-10-20,1,0.0,1,6,False,False,False
U000019_S0001,U000019,mobile,2025-11-04,1,0.0,1,7,False,False,False
U000019_S0002,U000019,desktop,2025-11-05,8,0.0,7,35,False,False,False
U000019_S0003,U000019,tablet,2025-11-21,4,0.3,4,90,False,False,False
U000019_S0004,U000019,mobile,2025-11-24,7,0.0,5,104,False,False,False
U000019_S0005,U000019,desktop,2025-11-29,7,2388.0,6,4,False,False,True
U000019_S0006,U000019,desktop,2025-12-14,1,0.0,1,2,False,False,False
U000020_S0001,U000020,mobile,2025-12-16,3,0.0,2,230,False,False,False
U000020_S0002,U000020,mobile,2025-12-26,7,0.0,5,20,False,False,False
U000022_S0001,U000022,mobile,2025-11-12,4,0.0,3,390,False,False,False
U000022_S0002,U000022,mobile,2025-11-24,17,0.0,10,272,False,False,False
U000022_S0003,U000022,mobile,2025-12-01,5,0.0,5,70,False,False,False
U000023_S0001,U000023,desktop,2025-11-03,1,0.0,1,8,False,False,False
U000023_S0002,U000023,mobile,2025-12-14,1,0.0,1,29,False,False,False
U000024_S0001,U000024,mobile,2025-11-19,5,0.0,4,134,False,False,False
U000024_S0002,U000024,mobile,2025-12-20,4,0.0,4,54,False,False,False
U000026_S0001,U000026,desktop,2025-10-20,2,0.0,2,48,False,False,False
U000027_S0001,U000027,mobile,2025-12-11,6,0.0,6,110,False,False,False
U000028_S0001,U000028,desktop,2025-12-04,1,0.0,1,45,False,False,False
U000029_S0001,U000029,tablet,2025-10-08,1,0.0,1,84,False,False,False
U000029_S0002,U000029,tablet,2025-11-04,3,0.0,2,141,False,False,False
U000029_S0003,U000029,mobile,2025-11-14,3,0.0,3,0,False,False,False
U000029_S0004,U000029,mobile,2025-11-17,7,0.0,6,221,False,False,False
U000029_S0005,U000029,mobile,2025-12-08,4,0.0,4,428,False,False,False
