user_id,signup_date,acquisition_channel,primary_device,country,plan,quality_score,age_group
U000001,2025-10-15,direct,desktop,CA,free,0.249,35-44
U000002,2025-10-01,direct,desktop,US,free,0.234,25-34
U000003,2025-10-29,organic,mobile,US,starter,0.51,18-24
U000004,2025-10-29,organic,mobile,JP,free,0.198,25-34
U000005,2025-10-02,direct,mobile,DE,enterprise,0.552,35-44
U000006,2025-12-24,direct,desktop,BR,starter,0.273,25-34
U000007,2025-10-10,paid_social,mobile,IN,free,0.133,35-44
U000008,2025-11-14,organic,mobile,US,free,0.231,25-34
U000009,2025-11-09,email,desktop,UK,pro,0.39,25-34
U000010,2025-10-23,paid_search,mobile,US,pro,0.306,25-34
U000011,2025-10-16,referral,mobile,US,free,0.184,45-54
U000012,2025-11-18,organic,desktop,CA,starter,0.186,45-54
U000013,2025-10-01,paid_social,mobile,US,free,0.287,35-44
U000014,2025-10-14,direct,tablet,US,free,0.044,35-44
U000015,2025-10-02,paid_search,desktop,US,starter,0.387,35-44
U000016,2025-10-09,email,mobile,DE,free,0.185,25-34
U000017,2025-10-02,paid_social,desktop,US,free,0.069,25-34
U000018,2025-12-22,organic,mobile,US,starter,0.543,25-34
U000019,2025-10-03,direct,desktop,DE,starter,0.182,35-44
U000020,2025-10-31,organic,mobile,BR,starter,0.387,35-44
U000021,2025-11-01,organic,desktop,US,starter,0.54,35-44
U000022,2025-10-03,paid_search,mobile,US,starter,0.224,35-44
U000023,2025-10-26,paid_social,mobile,FR,starter,0.098,25-34
U000024,2025-10-01,direct,mobile,JP,free,0.275,35-44
U000025,2025-12-22,email,desktop,US,starter,0.401,35-44
U000026,2025-10-14,paid_search,desktop,IN,free,0.114,45-54
U000027,2025-12-06,paid_search,mobile,US,free,0.187,35-44
U000028,2025-10-01,organic,desktop,US,starter,0.393,18-24
U000029,2025-10-02,paid_social,mobile,DE,free,0.034,18-24
U000030,2025-10-01,direct,desktop,FR,free,0.121,35-44
U000031,2025-11-02,paid_search,tablet,FR,free,0.46,35-44
U000032,2025-10-01,organic,mobile,US,free,0.261,25-34
U000033,2025-10-06,paid_search,mobile,DE,free,0.19,45-54
U000034,2025-11-02,organic,mobile,DE,free,0.312,35-44
U000035,2025-10-19,paid_social,tablet,US,pro,0.374,18-24
U000036,2025-11-20,paid_search,mobile,FR,free,0.368,25-34
U000037,2025-11-11,referral,tablet,UK,pro,0.528,25-34
U000038,2025-11-11,referral,mobile,BR,free,0.458,18-24
U000039,2025-12-10,organic,mobile,JP,free,0.228,25-34
U000040,2025-11-03,referral,desktop,AU,starter,0.356,45-54
U000041,2025-10-13,organic,mobile,AU,free,0.135,45-54
U000042,2025-11-06,organic,mobile,MX,pro,0.154,35-44
U000043,2025-10-15,organic,desktop,CA,free,0.412,25-34
U000044,2025-10-02,organic,mobile,DE,free,0.216,45-54
U000045,2025-10-08,direct,mobile,JP,pro,0.296,35-44
U000046,2025-10-30,email,mobile,DE,enterprise,0.377,45-54
U000047,2025-10-19,email,mobile,US,pro,0.041,55+
U000048,2025-11-05,paid_social,mobile,IN,starter,0.115,35-44
